CLAVE      | MENSAJE DECODIFICADO      | ESTADO
-----------------------------------------------------------------
EEEE       | ITDPMUR                   | 
EEEA       | RIDTIPM                   | 
EEEO       | IYCONIU                   | 
EEEL       | MDRUQTY                   | 
EEES       | SOYTNPU                   | 
EEEN       | LPMNIIQ                   | 
EEED       | MECYNSO                   | 
EEER       | INPMPLQ                   | 
EEEU       | SPIPIAA                   | 
EEEI       | NDRICPC                   | 
EEET       | OTQSSNC                   | 
EEEC       | EPLONTC                   | 
EEEP       | MEDYRPI                   | 
EEEM       | LCSTCUU                   | 
EEEY       | RUYOCPA                   | 
EEEQ       | COACOMR                   | 
EEAE       | NYIAINU                   | 
EEAA       | MPCECOC                   | 
EEAO       | LUIYYPC                   | 
EEAL       | NAERAAS                   | 
EEAS       | RYQYUOI                   | 
EEAN       | LYDEODE                   | 
EEAD       | OPEYRND                   | 
EEAR       | ICORASE                   | 
EEAU       | DMSMOAO                   | 
EEAI       | LNMTONO                   | 
EEAT       | CLCPMYI                   | 
EEAC       | DYRTNOR                   | 
EEAP       | IECNPOI                   | 
EEAM       | NCPPRAD                   | 
EEAY       | UEUCRLQ                   | 
EEAQ       | PCUNSOL                   | 
EEOE       | PLOTMRL                   | 
EEOA       | TLNCSEQ                   | 
EEOO       | SMOTOYT                   | 
EEOL       | AYCRAEC                   | 
EEOS       | LUTIEPN                   | 
EEON       | RAPQQMI                   | 
EEOD       | TMAUYLS                   | 
EEOR       | SDUYCDN                   | 
EEOU       | UQSSRCP                   | 
EEOI       | PLMMMON                   | 
EEOT       | USEDPUD                   | 
EEOC       | AUECIUM                   | 
EEOP       | SPUSLUP                   | 
EEOM       | SQYTEPS                   | 
EEOY       | SPMRLOY                   | 
EEOQ       | SUQLPRM                   | 
EELE       | UQREORR                   | 
EELA       | RNCCQDO                   | 
EELO       | OQNNLDY                   | 
EELL       | RQCTQCS                   | 
EELS       | EQOTCAA                   | 
EELN       | YATRILC                   | 
EELD       | AODQRCT                   | 
EELR       | TCUPUAQ                   | 
EELU       | YUUDLSN                   | 
EELI       | AQMENPS                   | 
EELT       | SREYDRI                   | 
EELC       | QPQMTMC                   | 
EELP       | YSPTYUE                   | 
EELM       | YONRATC                   | 
EELY       | MDARSNO                   | 
EELQ       | MTRTDNY                   | 
EESE       | TUORQIC                   | 
EESA       | UAAENRS                   | 
EESO       | LTNAYTA                   | 
EESL       | YCDQYOA                   | 
EESS       | LEPNYRS                   | 
EESN       | RALCYAY                   | 
